Name,Conference,Division,Reclass Division,Public/Private,HBCU,State
Academy of Art University,Pacific West Conference,II,,Private,No,CA
Adams State University,Rocky Mountain Athletic Conference,II,,Public,No,CO
Adelphi University,Northeast-10 Conference,II,,Private,No,NY
Albany State University (Georgia),Southern Intercol. Ath. Conf.,II,,Public,Yes,GA
Allen University,Southern Intercol. Ath. Conf.,II,,Private,Yes,SC
American International College,Northeast-10 Conference,II,,Private,No,MA
Anderson University (South Carolina),South Atlantic Conference,II,,Private,No,SC
Angelo State University,Lone Star Conference,II,,Public,No,TX
Arkansas Tech University,Great American Conference,II,,Public,No,AR
Ashland University,Great Midwest Athletic Conference,II,,Private,No,OH
Assumption University,Northeast-10 Conference,II,,Private,No,MA
Auburn University at Montgomery,Gulf South Conference,II,,Public,No,AL
Augusta University,Peach Belt Conference,II,,Public,No,GA
Augustana University (South Dakota),Northern Sun Intercollegiate Conference,II,,Private,No,SD
Azusa Pacific University,Pacific West Conference,II,,Private,No,CA
Barry University,Sunshine State Conference,II,,Private,No,FL
Barton College,Conference Carolinas,II,,Private,No,NC
Bellarmine University,Atlantic Sun Conference,II,I,Private,No,KY
Belmont Abbey College,Conference Carolinas,II,,Private,No,NC
Bemidji State University,Northern Sun Intercollegiate Conference,II,,Public,No,MN
Benedict College,Southern Intercol. Ath. Conf.,II,,Private,Yes,SC
Bentley University,Northeast-10 Conference,II,,Private,No,MA
Biola University,Pacific West Conference,II,,Private,No,CA
Black Hills State University,Rocky Mountain Athletic Conference,II,,Public,No,SD
Bloomfield College,Central Atlantic Collegiate Conference,II,,Private,No,NJ
Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,,Public,No,PA
Bluefield State University,Central Intercollegiate Athletic Association,II,,Public,Yes,WV
Bowie State University,Central Intercollegiate Athletic Association,II,,Public,Yes,MD
Caldwell University,Central Atlantic Collegiate Conference,II,,Private,No,NJ
"California State Polytechnic University, Humboldt",California Collegiate Athletic Association,II,,Public,No,CA
"California State Polytechnic University, Pomona",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, Chico",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, Dominguez Hills",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, East Bay",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, Los Angeles",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, Monterey Bay",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, San Bernardino",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, San Marcos",California Collegiate Athletic Association,II,,Public,No,CA
"California State University, Stanislaus",California Collegiate Athletic Association,II,,Public,No,CA
Cameron University,Lone Star Conference,II,,Public,No,OK
Carson-Newman University,South Atlantic Conference,II,,Private,No,TN
Catawba College,South Atlantic Conference,II,,Private,No,NC
Cedarville University,Great Midwest Athletic Conference,II,,Private,No,OH
Central State University,Southern Intercol. Ath. Conf.,II,,Public,Yes,OH
Central Washington University,Great Northwest Athletic Conference,II,,Public,No,WA
Chadron State College,Rocky Mountain Athletic Conference,II,,Public,No,NE
Chaminade University,Pacific West Conference,II,,Private,No,HI
Chestnut Hill College,Central Atlantic Collegiate Conference,II,,Private,No,PA
Chowan University,Conference Carolinas,II,,Private,No,NC
Christian Brothers University,Gulf South Conference,II,,Private,No,TN
Claflin University,Central Intercollegiate Athletic Association,II,,Private,Yes,SC
Clark Atlanta University,Southern Intercol. Ath. Conf.,II,,Private,Yes,GA
Clayton State University,Peach Belt Conference,II,,Public,No,GA
Coker University,South Atlantic Conference,II,,Private,No,SC
College of Staten Island,East Coast Conference,II,,Public,No,NY
Colorado Christian University,Rocky Mountain Athletic Conference,II,,Private,No,CO
Colorado Mesa University,Rocky Mountain Athletic Conference,II,,Public,No,CO
Colorado School of Mines,Rocky Mountain Athletic Conference,II,,Public,No,CO
Colorado State University Pueblo,Rocky Mountain Athletic Conference,II,,Public,No,CO
Columbus State University,Peach Belt Conference,II,,Public,No,GA
Concord University,Mountain East Conference,II,,Public,No,WV
Concordia University Irvine,Pacific West Conference,II,,Private,No,CA
"Concordia University, St. Paul",Northern Sun Intercollegiate Conference,II,,Private,No,MN
Converse University,Conference Carolinas,II,,Private,No,SC
D'Youville University,East Coast Conference,II,,Private,No,NY
Daemen University,East Coast Conference,II,,Private,No,NY
Dallas Baptist University,Lone Star Conference,II,,Private,No,TX
Davenport University,Great Lakes Intercollegiate Athletic Conference,II,,Private,No,MI
Davis & Elkins College,Mountain East Conference,II,,Private,No,WV
Delta State University,Gulf South Conference,II,,Public,No,MS
Dominican University New York,Central Atlantic Collegiate Conference,II,,Private,No,NY
Dominican University of California,Pacific West Conference,II,,Private,No,CA
Drury University,Great Lakes Valley Conference,II,,Private,No,MO
East Central University,Great American Conference,II,,Public,No,OK
East Stroudsburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,,Public,No,PA
Eastern New Mexico University,Lone Star Conference,II,,Public,No,NM
Eckerd College,Sunshine State Conference,II,,Private,No,FL
Edward Waters University,Southern Intercol. Ath. Conf.,II,,Private,Yes,FL
Elizabeth City State University,Central Intercollegiate Athletic Association,II,,Public,Yes,NC
Embry-Riddle Aeronautical University (Florida),Sunshine State Conference,II,,Private,No,FL
Emmanuel University (Georgia),Conference Carolinas,II,,Private,No,GA
Emory & Henry College,South Atlantic Conference,III,II,Private,No,VA
Emporia State University,Mid-America Intercollegiate Athletics Association,II,,Public,No,KS
Erskine College,Conference Carolinas,II,,Private,No,SC
Fairmont State University,Mountain East Conference,II,,Public,No,WV
Fayetteville State University,Central Intercollegiate Athletic Association,II,,Public,Yes,NC
Felician University,Central Atlantic Collegiate Conference,II,,Private,No,NJ
Ferris State University,Great Lakes Intercollegiate Athletic Conference,II,,Public,No,MI
Flagler College,Peach Belt Conference,II,,Private,No,FL
Florida Institute of Technology,Sunshine State Conference,II,,Private,No,FL
Florida Southern College,Sunshine State Conference,II,,Private,No,FL
Fort Hays State University,Mid-America Intercollegiate Athletics Association,II,,Public,No,KS
Fort Lewis College,Rocky Mountain Athletic Conference,II,,Public,No,CO
Fort Valley State University,Southern Intercol. Ath. Conf.,II,,Public,Yes,GA
