Player,GP,GS,MIN,MIN/G,FGM,FGA,FG%,3PT,3PTA,3PT%,FT,FTA,FT%,PTS,AVG,OFF REB,DEF REB,REB,REB/G,PF,AST,TO,STL,BLK,Position,Team,Year
Andrija Blatancic,23,19,698,30.3,162,299,.542,2,18,.111,83,128,.648,409,17.8,63,139,202,8.8,68,24,61,21,6,F,Academy of Art University,2018-2019
Dante Williams,28,1,409,14.6,52,109,.477,6,18,.333,42,64,.656,152,5.4,5,35,40,1.4,51,22,34,13,1,G,Academy of Art University,2018-2019
Chance Maxwell,14,0,61,4.4,2,4,.500,0,0,.000,0,0,.000,4,0.3,2,1,3,0.2,7,6,1,2,0,G,Academy of Art University,2018-2019
Cole Morgan,23,9,373,16.2,35,96,.365,2,8,.250,21,32,.656,93,4.0,29,57,86,3.7,56,28,28,22,2,G,Academy of Art University,2018-2019
Cobe Williams,28,27,742,26.5,86,206,.417,47,134,.351,42,54,.778,261,9.3,9,27,36,1.3,62,91,62,26,1,G,Academy of Art University,2018-2019
Lake Del Mar,25,1,226,9.0,29,56,.518,0,0,.000,17,36,.472,75,3.0,12,25,37,1.5,18,1,6,0,7,F/C,Academy of Art University,2018-2019
Nemanja Kovacevic ,23,1,212,9.2,16,51,.314,12,40,.300,2,5,.400,46,2.0,2,17,19,0.8,35,8,15,3,0,G,Academy of Art University,2018-2019
Victor Ruiz de Carranza,28,17,751,26.8,63,140,.450,9,36,.250,29,43,.674,164,5.9,46,135,181,6.5,80,80,61,35,14,G,Academy of Art University,2018-2019
Kiel Long,28,16,538,19.2,22,75,.293,8,41,.195,16,26,.615,68,2.4,9,48,57,2.0,48,32,13,7,1,G,Academy of Art University,2018-2019
Luka Radovic,14,4,124,8.9,11,32,.344,0,0,.000,5,9,.556,27,1.9,7,13,20,1.4,17,1,15,4,4,F,Academy of Art University,2018-2019
Stefan Milivojevic,27,16,668,24.7,91,198,.460,42,108,.389,47,60,.783,271,10.0,27,38,65,2.4,53,34,42,11,3,G,Academy of Art University,2018-2019
Brenden Otero,16,1,110,6.9,13,26,.500,3,5,.600,3,6,.500,32,2.0,11,13,24,1.5,12,5,3,2,2,F,Academy of Art University,2018-2019
Cameron Niven,28,21,480,17.1,104,199,.523,0,0,.000,15,38,.395,223,8.0,35,80,115,4.1,83,10,40,15,25,C,Academy of Art University,2018-2019
Joshua Bagley,28,26,742,26.5,68,172,.395,33,79,.418,32,44,.727,201,7.2,12,64,76,2.7,77,79,63,14,1,G,Academy of Art University,2019-2020
Monte Lambert,19,2,280,14.7,37,89,.416,4,15,.267,15,21,.714,93,4.9,11,31,42,2.2,27,11,14,4,0,G,Academy of Art University,2019-2020
Dante Williams,30,6,593,19.8,75,156,.481,5,29,.172,38,60,.633,193,6.4,25,75,100,3.3,58,67,63,20,8,G,Academy of Art University,2019-2020
Jalen Lovett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,Academy of Art University,2019-2020
Tim Graham,7,7,173,24.7,26,78,.333,12,34,.353,5,9,.556,69,9.9,12,43,55,7.9,20,9,22,7,5,F,Academy of Art University,2019-2020
Kai Tease,20,15,559,28.0,76,219,.347,29,98,.296,30,40,.750,211,10.6,15,47,62,3.1,24,17,43,13,0,G,Academy of Art University,2019-2020
Nemanja Kovacevic ,23,12,439,19.1,37,89,.416,32,72,.444,8,10,.800,114,5.0,5,30,35,1.5,29,27,19,7,1,G,Academy of Art University,2019-2020
Josh Hill,30,29,768,25.6,143,249,.574,0,0,.000,61,95,.642,347,11.6,97,148,245,8.2,84,28,60,19,10,F,Academy of Art University,2019-2020
Victor Ruiz de Carranza,30,17,674,22.5,46,105,.438,5,22,.227,47,66,.712,144,4.8,48,148,196,6.5,66,75,69,25,9,G,Academy of Art University,2019-2020
Luka Radovic,29,1,332,11.4,42,95,.442,1,4,.250,2,5,.400,87,3.0,29,46,75,2.6,37,21,19,3,7,F,Academy of Art University,2019-2020
Stefan Milivojevic,30,30,1001,33.4,180,350,.514,78,172,.453,77,88,.875,515,17.2,34,65,99,3.3,74,70,86,17,2,G,Academy of Art University,2019-2020
Adrian Byrd-Jelinek,28,5,433,15.5,51,125,.408,11,53,.208,17,29,.586,130,4.6,16,50,66,2.4,56,30,33,12,8,F,Academy of Art University,2019-2020
Lake Del Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F/C,Academy of Art University,2019-2020
Chris Roberson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,Academy of Art University,2019-2020
Scott Waterman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,Academy of Art University,2019-2020
Adrian Byrd-Jelinek,6,1,60,10.0,7,28,.250,0,9,.000,5,6,.833,19,3.2,3,11,14,2.3,8,6,4,3,0,F,Academy of Art University,2020-2021
Joshua Bagley,13,11,399,30.7,33,99,.333,17,46,.370,19,24,.792,102,7.8,6,34,40,3.1,40,53,34,6,0,G,Academy of Art University,2020-2021
